학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
초등학교,2,3,수학,원과 삼각형 중에서 둘레를 구할 때 원의 둘레는 어떻게 구하나요?,원의 둘레 = 2πr (r은 반지름) ,원의 둘레 = 4s (s는 변의 길이),"원의 둘레 = a + b + c (a, b, c는 각 변의 길이) ","원의 둘레: a + b + c + d(a, b, c는 각 변의 길이)"
초등학교,2,1,수학,245 + 789 을 계산하세요.,"1,034","1,054",987,946
초등학교,2,3,수학,짝수와 홀수 중에서 16은 무엇인가요?,짝수,홀수  ,둘 다 아님,둘 다 
초등학교,2,1,수학,9 x 7 의 결과는 무엇인가요?,63,56,72,81
초등학교,2,2,수학,지금은 오후 4시 20분입니다. 2시간 40분 후에 몇 시 몇 분이 될까요?,오후 7시,오후 6시 40분,오후 8시 40분,오후 9시
초등학교,2,1,수학,문제: 572 - 198 을 계산하세요.,374,284,392,448
초등학교,2,3,수학,"직사각형의 가로 길이가 20cm, 세로 길이가 15cm일 때, 넓이는 얼마인가요?",300cm²,200 cm²,450cm² ,600 cm²
초등학교,2,2,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 6, 12, 24, 48, ...",96,84,108,120
초등학교,2,3,수학,지금은 오전 9시 15분입니다. 3시간 30분 후에 몇 시 몇 분이 될까요?,오후 12시 45분,오전 12시 45분,오후 2시 45분,오전 2시 45분
초등학교,2,1,수학,문제: 856 + 294 을 계산하세요.,"1,150","1,140","1,160","1,170"
초등학교,2,1,수학,139 + 258 을 계산하세요.,397,398,399,400
초등학교,2,1,수학,지금은 오전 6시 40분입니다. 5시간 20분 후에 몇 시 몇 분이 될까요?,오전 12시 5분,오전 12시 20분,오후 1시 20분,오전 1시 40분
초등학교,2,2,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 2, 4, 8, 16, …",32,28,36,40
초등학교,2,1,수학,729 + 186 을 계산하세요.,915,930,945,960
초등학교,2,1,수학,6 x 9 의 결과는 무엇인가요?,54,36,45,63
초등학교,2,3,수학,지금은 오후 3시 10분입니다. 2시간 50분 후에 몇 시 몇 분이 될까요?,오후 6시,오후 5시 40분,오후 5시 10분,오후 4시 40분
초등학교,2,1,수학,421 - 198 을 계산하세요.,223,234,247,253
초등학교,2,1,수학,564 + 327 을 계산하세요.,891,881,891,901
초등학교,2,1,수학,지금은 오후 8시 25분입니다. 1시간 35분 후에 몇 시 몇 분이 될까요?,오후 10시,오후 9시 45분,오후 11시,오후 11시 45분
초등학교,2,2,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 1, 5, 9, 13, ...",17,19,21,23
초등학교,2,1,수학,315 - 128 을 계산하세요.,187,197,207,217
초등학교,2,1,수학,568 + 237 을 계산하세요.,805,893,905,993
초등학교,2,3,수학,정사각형과 직사각형의 내각의 합은 어떻게 되나요?,"정사각형의 내각의 합 = 360°, 직사각형의 내각의 합 = 360°(정답) ","정사각형의 내각의 합 = 180°, 직사각형의 내각의 합 = 360° ","정사각형의 내각의 합 = 360°, 직사각형의 내각의 합 = 180° ",정사각형의 내각의 합 = 180° 직사각형의 내각의 합 = 180°
초등학교,2,1,수학,문제: 734 + 289 을 계산하세요.,"1,023",1.013,"1,134","1,144"
초등학교,2,1,수학,문제: 8 x 9 은 얼마인가요?,72,56,64,80
초등학교,2,3,수학,지금은 오후 1시 55분입니다. 2시간 15분 후에 몇 시 몇 분이 될까요?,오후 4시 10분,오후 4시 50분,오후 5시 10분 ,오후 5시 50분
초등학교,2,1,수학,678 + 495 을 계산하세요.,"1,173","1,267","1,357","1,497"
초등학교,2,2,수학,25보다 작은 소수는 무엇인가요?,"2, 3, 5, 7, 11, 13, 17, 19, 23","1, 3, 6, 8, 10, 14, 18, 21, 24 ","2, 4, 6, 9, 12, 15, 18, 21, 24","1, 2, 3, 4, 5, 6, 7, 8, 9"
초등학교,2,2,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 2, 4, 8, 16, ...",32,28,36,40
초등학교,2,2,수학,지금은 오전 10시 45분입니다. 1시간 55분 후에 몇 시 몇 분이 될까요?,오후 12시 40분,오후 12시 50분,오후 11시 40분 ,오후 11시 50분
초등학교,2,1,수학,문제: 892 - 365 을 계산하세요.,527,537,627,637
초등학교,2,1,수학,249 + 536 을 계산하세요.,785,789,793,800
초등학교,2,1,수학,9 x 9 은 얼마인가요?,81,63,72,90
초등학교,2,3,수학,지금은 오후 5시 20분입니다. 3시간 40분 후에 몇 시 몇 분이 될까요?,오후 9시,오후 10시,오후 9시 40분,오후 10시 40분
초등학교,2,1,수학,413 + 687 을 계산하세요.,"1,100","1,097","1,213","1,175"
초등학교,2,3,수학,"직사각형의 가로 길이가 12cm, 세로 길이가 8cm일 때, 넓이는 얼마인가요?",96cm²,64cm²,138 cm²,170 cm²
초등학교,2,1,수학,721 + 458 을 계산하세요.,"1,179","1,199","1,239","1,289"
초등학교,2,1,수학,589 + 326 을 계산하세요.,915,913,911,909
초등학교,2,2,수학,지금은 오전 7시 30분입니다. 4시간 40분 후에 몇 시 몇 분이 될까요?,오후 12시 10분,오후 12시 15분,오후 12시 20분,오후 12시 25분
초등학교,2,1,수학,15는 소수와 합성수 중 무엇인가요?,합성수,소수,둘 다 아님,둘 다 맞다
초등학교,2,1,수학,426 + 573 을 계산하세요.,999,978,"1,072","1,097"
초등학교,2,1,수학,13은 짝수와 홀수 중 무엇인가요?,홀수,짝수,둘 다 아님,둘 다 맞다
초등학교,2,1,수학,5 x 6 의 결과는 무엇인가요?,30,20,25,35
초등학교,2,3,수학,지금은 오후 2시 10분입니다. 2시간 50분 후에 몇 시 몇 분이 될까요?,오후 5시,오후 5시 10분,오후 5시 20분,오후 5시 30분
초등학교,2,2,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 3, 9, 27, 81, ...",243,216,273,306
,,,,,,,,
,,,,,,,,
,,,,       ,,,,
