학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
중학교,1학년,2,수학,(x - y)(x + y)를 전개하면?,x^2-y^2,y = x + 3,"8, 17",x^2-y^2
중학교,1학년,3,수학,(a - b)^2를 전개하면?,a^2 - 2ab + b^2,11,3 x 3 x 3 x 7 x 11 x 13 x 37,3
중학교,1학년,2,수학,(x + a)(x - a)를 전개하면?,x^2-a^2,5 x 5,3,"15, 25"
중학교,1학년,2,수학,-4ab(a-b)-(a+b)^3+(a-b)^3을 정리 하세요.,a^3-b^3-4a^2b-4ab^2,x^2-a^2,504,2 x 2 x 2 x 2 x 2 x 3
중학교,1학년,3,수학,-5(x+1)+6(x-1)=15에서 해는?,26,x^2-a^2,0.5,a^2 + 2ab + b^2
중학교,1학년,1,수학,|-5|+|-8|= ?,13,3 x 3 x 3 x 7 x 11 x 13 x 37,20,14
중학교,1학년,3,수학,|-9/4|=?,2.25,2.25,"3, 7",10
중학교,1학년,3,수학,|√5 - √20| = ?,0.5,26,"10, 6",11
중학교,1학년,3,수학,a + 7a는?,8a,7a,1.7320508076,0.5
중학교,1학년,2,수학,3x - 7 = 8의 해는?,5,5 x 5,6,"14, 18"
중학교,1학년,2,수학,4(x + 2) = 28의 해는?,5,6,36,"6, 8"
중학교,1학년,3,수학,5y - 3 = y + 9의 해는?,3,5,y = -3x + 5,5
중학교,1학년,2,수학,2x - 5 = 3x - 8의 해는?,3,"14, 11","20, 14",75
중학교,1학년,1,수학,3(x - 4) + 2(x + 8) - 3x = 5의 해는?,-17,-16,3,"10, 6"
중학교,1학년,3,수학,3x - 7 = 8의 해는?,5,1.41421356237,26,6
중학교,1학년,2,수학,4(x + 2) = 28의 해는?,5,√13,6,7
중학교,1학년,2,수학,5y - 3 = y + 9의 해는?,3,3,y = -3x + 5,7
중학교,1학년,3,수학,2x - 5 = 3x - 8의 해는?,3,5,5√2,6
중학교,1학년,1,수학,3(x - 4) + 2(x + 8) - 3x = 5의 해는?,-17,-16,3 x 3 x 3 x 7 x 11 x 13 x 37,13
중학교,1학년,2,수학,"두 수의 합이 12, 두 수의 차이가 2일 때 두 수는?","7, 5",2,5,2.25
중학교,1학년,3,수학,"두 수의 합이 16, 두 수의 차이가 4일 때 두 수는?","10, 6",a^2 - 2ab + b^2,"10, 6",75
중학교,1학년,2,수학,"x + y = 10, x - y = 2일 때 x와 y의 값은?","6, 4","3, 7",7,"10, 6"
중학교,1학년,3,수학,"h + v = 25, 2h + 4v = 120일 때 h와 v의 값은?","8, 17",y = x + 1,5,3
중학교,1학년,3,수학,"가로가 x, 세로가 y인 직사각형의 넓이는 xy이고 둘레는 2x + 2y일 때 x, y의 값은?","3, 7",4a,3 x 3 x 3 x 7 x 11 x 13 x 37,36
중학교,1학년,3,수학,"두 수의 합이 12, 두 수의 차이가 2일 때 두 수는?","7, 5","3, 7",2 x 2 x 5 x 7 x 7,5x - y
중학교,1학년,1,수학,"두 수의 합이 16, 두 수의 차이가 4일 때 두 수는?","3, 7",20,504,a^2 - 2ab + b^2
중학교,1학년,1,수학,"x + y = 10, x - y = 2일 때 x와 y의 값은?","6, 4",14,2,"3, 7"
중학교,1학년,1,수학,"h + v = 25, 2h + 4v = 120일 때 h와 v의 값은?","8, 17","6, 8",16,6
중학교,1학년,3,수학,"가로가 x, 세로가 y인 직사각형의 넓이는 xy이고 둘레는 2x + 2y일 때 x, y의 값은?","3, 7","20, 14","7, 5","8, 17"
중학교,1학년,2,수학,"2차원 좌표계에서 (3, 4)의 좌표를 가지는 점은?",D,40,"7, 5","14, 18"
중학교,1학년,1,수학,2차원 좌표계에서 x축에 대해 대칭되는 점은?,B,5,6,√13
중학교,1학년,2,수학,"기울기가 2/3, y절편이 4인 직선의 방정식은?",y = 2/3x + 4,B,"8, 17",2/5
중학교,1학년,2,수학,"두 점 (1, 2), (3, 4)을 지나는 직선의 방정식은?",y = x + 1,C,"-1, 3",y = 2/3x + 4
중학교,1학년,1,수학,"원점에서 (2, 3)까지의 거리는?",√13,y = x + 1,3a - b - 2c,40
중학교,1학년,3,수학,"2차원 좌표계에서 (3, 4)의 좌표를 가지는 점은?",D,C,3,1.7320508076
중학교,1학년,3,수학,2차원 좌표계에서 x축에 대해 대칭되는 점은?,B,2,C,3
중학교,1학년,3,수학,"기울기가 2/3, y절편이 4인 직선의 방정식은?",y = 2/3x + 4,"6, 4",C,5 x 5
중학교,1학년,2,수학,"두 점 (1, 2), (3, 4)을 지나는 직선의 방정식은?",y = x + 1,y = 2/3x + 4,5,C
중학교,1학년,3,수학,"원점에서 (2, 3)까지의 거리는?",√13,"7, 5",0.5,5 x 5
중학교,1학년,2,수학,2:3으로 비례하는 두 수의 합이 30일 때 두 수는?,"12, 18",C,-17,12
중학교,1학년,1,수학,5:8로 비례하는 두 수의 차이가 6일 때 두 수는?,"15, 24",C,3,2.25
중학교,1학년,1,수학,x:5로 반비례하는 y가 4일 때 x의 값은?,20,C,5√2,504
중학교,1학년,3,수학,"직사각형의 가로와 세로가 각각 2:3으로 비례할 때, 둘레의 길이는?",20,10,C,4
중학교,1학년,1,수학,2차 함수 y = ax^2 + bx + c에서 a 값이 양수이면 어떤 형태를 띄는 그래프인가?,윗볼록한 형태,C,a^2 - 2ab + b^2,"15, 25"
중학교,1학년,1,수학,2:3으로 비례하는 두 수의 합이 30일 때 두 수는?,"12, 18","15, 24",36,2 x 2 x 2 x 2 x 2 x 3
중학교,1학년,2,수학,5:8로 비례하는 두 수의 차이가 6일 때 두 수는?,"15, 24",0.6666666667,20,5
중학교,1학년,1,수학,x:5로 반비례하는 y가 4일 때 x의 값은?,20,C,5,10
중학교,1학년,3,수학,"직사각형의 가로와 세로가 각각 2:3으로 비례할 때, 둘레의 길이는?",20,"-1, 3",아래볼록한 형태,"12, 5"
중학교,1학년,3,수학,2차 함수 y = ax^2 + bx + c에서 a 값이 양수이면 어떤 형태를 띄는 그래프인가?,윗볼록한 형태,a^3-b^3-4a^2b-4ab^2,C,"(-2 + √13) / 6, (-2 - √13) / 6"
